input,output,label,source,__text__
我忘了借记卡取款密码怎么办？,"请在“XX银行App-我的-安全中心-密码管理”选择“重置取款密码”，完成人脸核身后设置新密码；如线上校验不通过，请携带身份证原件至任一网点办理。
",账户与安全,retrieved,"我忘了借记卡取款密码怎么办？ || 请在“XX银行App-我的-安全中心-密码管理”选择“重置取款密码”，完成人脸核身后设置新密码；如线上校验不通过，请携带身份证原件至任一网点办理。
"
手机丢了怕被人用我的卡，怎么紧急处理？,"请立即在“XX银行App-我的-安全中心-紧急服务”办理“挂失/临时冻结”，或拨打 955xx 选择“挂失止付”；随后更换预留手机号并修改登录/取款密码。如发现可疑交易，请联系人工核查。
",账户与安全,retrieved,"手机丢了怕被人用我的卡，怎么紧急处理？ || 请立即在“XX银行App-我的-安全中心-紧急服务”办理“挂失/临时冻结”，或拨打 955xx 选择“挂失止付”；随后更换预留手机号并修改登录/取款密码。如发现可疑交易，请联系人工核查。
"
我从别的银行给你们银行转账，多久到账？,"跨行转账一般 2 小时内到账，具体以收款行入账为准。通过我行 App“转账-跨行”选择快速通道通常实时/准实时；节假日或风控复核可能延迟，可在“转账记录”里发起进度查询。
",支付与转账,retrieved,"我从别的银行给你们银行转账，多久到账？ || 跨行转账一般 2 小时内到账，具体以收款行入账为准。通过我行 App“转账-跨行”选择快速通道通常实时/准实时；节假日或风控复核可能延迟，可在“转账记录”里发起进度查询。
"
转账显示超过限额，是怎么回事？,"转账限额受多因素影响（实名等级、设备安全、产品限额等）。请在“App-我的-安全中心-限额管理”查看并提升认证等级；如仍受限，可分笔操作或联系人工评估。
",支付与转账,retrieved,"转账显示超过限额，是怎么回事？ || 转账限额受多因素影响（实名等级、设备安全、产品限额等）。请在“App-我的-安全中心-限额管理”查看并提升认证等级；如仍受限，可分笔操作或联系人工评估。
"
信用卡最低还款和全额还款有啥区别？,"选择最低还款可避免逾期，但未还部分会计息；全额还款则不计息。建议在到期日前尽量全额还款，避免利息与信用影响。您可在“信用卡-我的-本期账单”查看金额与到期日。
",信用卡,retrieved,"信用卡最低还款和全额还款有啥区别？ || 选择最低还款可避免逾期，但未还部分会计息；全额还款则不计息。建议在到期日前尽量全额还款，避免利息与信用影响。您可在“信用卡-我的-本期账单”查看金额与到期日。
"
怎么取消信用卡年费？,"部分卡种支持年费减免（如达标免年费/积分抵扣），以卡片条款为准。请在“信用卡-我的-年费与权益”查看减免规则；若已扣收，可在 48 小时内联系人工评估是否可退。
",费用与收费,retrieved,"怎么取消信用卡年费？ || 部分卡种支持年费减免（如达标免年费/积分抵扣），以卡片条款为准。请在“信用卡-我的-年费与权益”查看减免规则；若已扣收，可在 48 小时内联系人工评估是否可退。
"
3个月理财稳不稳定？会不会亏？,"多数理财为“非保本浮动收益”，存在亏损风险；如为保本类会在产品说明中明确标注。请在“理财-产品详情-风险揭示/历史净值”查看条款，并结合自身风险承受能力选择。
",理财与风险,retrieved,"3个月理财稳不稳定？会不会亏？ || 多数理财为“非保本浮动收益”，存在亏损风险；如为保本类会在产品说明中明确标注。请在“理财-产品详情-风险揭示/历史净值”查看条款，并结合自身风险承受能力选择。
"
今天美元兑人民币的汇率是多少？,"汇率实时波动，请以下单页面显示为准。您可在“外汇-实时汇率”或“兑换下单”界面查看当前购/售汇价；如需大额或特殊用途，建议先咨询人工了解时点政策。
",外汇与汇率,retrieved,"今天美元兑人民币的汇率是多少？ || 汇率实时波动，请以下单页面显示为准。您可在“外汇-实时汇率”或“兑换下单”界面查看当前购/售汇价；如需大额或特殊用途，建议先咨询人工了解时点政策。
"
我要申请消费贷款，利率多少？多久能批？,"贷款利率和审批时效会受个人资质、产品条款与时点政策影响，以系统评估及合同为准。您可在“贷款-快速申请”提交资料查看预估结果；如需更详细评估，请转人工。
",贷款与利率,retrieved,"我要申请消费贷款，利率多少？多久能批？ || 贷款利率和审批时效会受个人资质、产品条款与时点政策影响，以系统评估及合同为准。您可在“贷款-快速申请”提交资料查看预估结果；如需更详细评估，请转人工。
"
App 提示人脸识别失败，怎么解决？,"请在光线充足环境下正对摄像头，清除摄像头污渍并关闭强美颜/滤镜后重试；仍失败可在“我的-安全中心-人工核验”提交资料，或携带身份证至网点协助处理。
",App与技术,retrieved,"App 提示人脸识别失败，怎么解决？ || 请在光线充足环境下正对摄像头，清除摄像头污渍并关闭强美颜/滤镜后重试；仍失败可在“我的-安全中心-人工核验”提交资料，或携带身份证至网点协助处理。
"
怎么联系人工客服？,"请在 App 底部“客服中心”输入“人工客服”或拨打 955xx，工作时间 9:00-18:00 接入更快；如遇挂失/盗刷等紧急事项，请直接致电热线选择对应按键。
",网点与人工,retrieved,"怎么联系人工客服？ || 请在 App 底部“客服中心”输入“人工客服”或拨打 955xx，工作时间 9:00-18:00 接入更快；如遇挂失/盗刷等紧急事项，请直接致电热线选择对应按键。
"
转账失败但是钱扣了怎么办？,"部分异常会触发风控复核或退汇，请在“转账记录”查看状态；如 24 小时内未入账或退回，请联系人工协查。请确认收款人姓名与卡号一致，避免误转。
",投诉与争议,retrieved,"转账失败但是钱扣了怎么办？ || 部分异常会触发风控复核或退汇，请在“转账记录”查看状态；如 24 小时内未入账或退回，请联系人工协查。请确认收款人姓名与卡号一致，避免误转。
"
能查一下我这张卡上个月消费多少吗？,"为保护隐私，我们无法直接查看您的账务。请在“XX银行App-账单/明细”按月份查询，或导出对账单；如需发票/凭证，可在明细页申请。
",账户与安全,retrieved,"能查一下我这张卡上个月消费多少吗？ || 为保护隐私，我们无法直接查看您的账务。请在“XX银行App-账单/明细”按月份查询，或导出对账单；如需发票/凭证，可在明细页申请。
"
